Time Step (s),Cycle Speed (m/s),Grade,Temperature (C),Running Status
cycSecs,cycMps,cycGrade,cycTemp,Run On/Off
195,25.093,0.004,26,RunOn
196,24.889,0.004,26,RunOn
197,24.685,0.003,26,RunOn
198,24.481,0.003,26,RunOn
199,24.278,0.003,26,RunOn
200,24.278,0.003,26,RunOn
201,24.093,0.003,26,RunOn
202,23.907,0.003,26,RunOn
203,23.722,0.003,26,RunOn
204,23.537,0.003,26,RunOn
205,23.352,0.003,26,RunOn
206,23.167,0.003,26,RunOn
207,22.981,0.003,26,RunOn
208,22.796,0.003,26,RunOn
209,22.611,0.003,26,RunOn
210,22.611,0.003,26,RunOn
211,22.583,0.004,26,RunOn
212,22.556,0.005,26,RunOn
213,22.528,0.007,26,RunOn
214,22.5,0.008,26,RunOn
215,22.472,0.009,26,RunOn
216,22.444,0.01,26,RunOn
217,22.417,0.012,26,RunOn
218,22.389,0.013,26,RunOn
219,22.361,0.014,26,RunOn
220,22.361,0.014,26,RunOn
221,22.102,0.013,26,RunOn
222,21.843,0.013,26,RunOn
223,21.583,0.012,26,RunOn
224,21.324,0.011,26,RunOn
225,21.065,0.011,26,RunOn
226,20.806,0.01,26,RunOn
227,20.546,0.009,26,RunOn
228,20.287,0.009,26,RunOn
229,20.028,0.008,26,RunOn
230,20.028,0.008,26,RunOn
231,18.938,0.008,26,RunOn
232,17.849,0.008,26,RunOn
233,16.759,0.008,26,RunOn
234,15.67,0.008,26,RunOn
235,14.58,0.008,26,RunOn
236,13.491,0.008,26,RunOn
237,12.401,0.008,26,RunOn
238,11.312,0.008,26,RunOn
239,10.222,0.008,26,RunOn
240,10.222,0.008,26,RunOn
241,9.611,0.008,26,RunOn
242,9,0.008,26,RunOn
243,8.389,0.008,26,RunOn
244,7.778,0.008,26,RunOn
245,7.167,0.008,26,RunOn
246,6.556,0.008,26,RunOn
247,5.944,0.008,26,RunOn
248,5.333,0.008,26,RunOn
249,4.722,0.008,26,RunOn
250,4.722,0.008,26,RunOn
251,4.198,0.007,26,RunOn
252,3.673,0.006,26,RunOn
253,3.148,0.005,26,RunOn
254,2.623,0.004,26,RunOn
255,2.099,0.004,26,RunOn
256,1.574,0.003,26,RunOn
257,1.049,0.002,26,RunOn
258,0.525,0.001,26,RunOn
259,0,0,26,RunOn
260,0,0,26,RunOn
261,0,0,26,RunOn
262,0,0,26,RunOn
263,0,0,26,RunOn
264,0,0,26,RunOn
265,0,0,26,RunOn
266,0,0,26,RunOn
267,0,0,26,RunOn
268,0,0,26,RunOn
269,0,0,26,RunOn
270,0,0,26,RunOn
271,0,0,26,RunOn
272,0,0,26,RunOn
273,0,0,26,RunOn
274,0,0,26,RunOn
275,0,0,26,RunOn
276,0,0,26,RunOn
277,0,0,26,RunOn
278,0,0,26,RunOn
279,0,0,26,RunOn
280,0,0,26,RunOn
281,1.299,0,26,RunOn
282,2.599,0,26,RunOn
283,3.898,0,26,RunOn
284,5.198,0,26,RunOn
285,6.497,0,26,RunOn
286,7.796,0,26,RunOn
287,9.096,0,26,RunOn
288,10.395,0,26,RunOn
289,11.694,0,26,RunOn
290,11.694,0,26,RunOn
291,11.991,0,26,RunOn
292,12.287,0,26,RunOn
293,12.583,0,26,RunOn
294,12.88,0,26,RunOn
295,13.176,0,26,RunOn
296,13.472,0,26,RunOn
297,13.769,0,26,RunOn
298,14.065,0,26,RunOn
299,14.361,0,26,RunOn
300,14.361,0,26,RunOn
301,13.426,0,26,RunOn
302,12.491,0,26,RunOn
303,11.556,0,26,RunOn
304,10.62,0,26,RunOn
305,9.685,0,26,RunOn
306,8.75,0,26,RunOn
307,7.815,0,26,RunOn
308,6.88,0,26,RunOn
309,5.944,0,26,RunOn
310,5.944,0,26,RunOn
311,5.284,0,26,RunOn
312,4.623,0,26,RunOn
313,3.963,0,26,RunOn
314,3.302,0,26,RunOn
