Time Step (s),Cycle Speed (m/s),Grade,Temperature (C),Running Status
cycSecs,cycMps,cycGrade,cycTemp,Run On/Off
930,3.056,0,26,RunOn
931,2.716,0,26,RunOn
932,2.377,0,26,RunOn
933,2.037,0,26,RunOn
934,1.698,0,26,RunOn
935,1.358,0,26,RunOn
936,1.019,0,26,RunOn
937,0.679,0,26,RunOn
938,0.34,0,26,RunOn
939,0,0,26,RunOn
940,0,0,26,RunOn
941,0,0,26,RunOn
942,0,0,26,RunOn
943,0,0,26,RunOn
944,0,0,26,RunOn
945,0,0,26,RunOn
946,0,0,26,RunOn
947,0,0,26,RunOn
948,0,0,26,RunOn
949,0,0,26,RunOn
950,0,0,26,RunOn
951,0,0,26,RunOn
952,0,0,26,RunOn
953,0,0,26,RunOn
954,0,0,26,RunOn
955,0,0,26,RunOn
956,0,0,26,RunOn
957,0,0,26,RunOn
958,0,0,26,RunOn
959,0,0,26,RunOn
960,0,0,26,RunOn
961,0,0,26,RunOn
962,0,0,26,RunOn
963,0,0,26,RunOn
964,0,0,26,RunOn
965,0,0,26,RunOn
966,0,0,26,RunOn
967,0,0,26,RunOn
968,0,0,26,RunOn
969,0,0,26,RunOn
970,0,0,26,RunOn
971,0,0,26,RunOn
972,0,0,26,RunOn
973,0,0,26,RunOn
974,0,0,26,RunOn
975,0,0,26,RunOn
976,0,0,26,RunOn
977,0,0,26,RunOn
978,0,0,26,RunOn
979,0,0,26,RunOn
980,0,0,26,RunOn
981,0,0,26,RunOn
982,0,0,26,RunOn
983,0,0,26,RunOn
984,0,0,26,RunOn
985,0,0,26,RunOn
986,0,0,26,RunOn
987,0,0,26,RunOn
988,0,0,26,RunOn
989,0,0,26,RunOn
990,0,0,26,RunOn
991,0,0,26,RunOn
992,0,0,26,RunOn
993,0,0,26,RunOn
994,0,0,26,RunOn
995,0,0,26,RunOn
996,0,0,26,RunOn
